userId	rating	title	genres
602	3.0	Waterworld (1995)	Action|Adventure|Sci-Fi
580	4.0	Jurassic Park (1993)	Action|Adventure|Sci-Fi|Thriller
264	4.0	Mask, The (1994)	Action|Comedy|Crime|Fantasy
370	4.5	Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)	Comedy|Romance
489	3.5	Titanic (1997)	Drama|Romance
312	3.0	Die Hard (1988)	Action|Crime|Thriller
82	4.0	Star Wars: Episode VI - Return of the Jedi (1983)	Action|Adventure|Sci-Fi
166	3.5	Fugitive, The (1993)	Thriller
56	3.0	Batman (1989)	Action|Crime|Thriller
27	1.0	Aliens (1986)	Action|Adventure|Horror|Sci-Fi
280	4.5	Toy Story (1995)	Adventure|Animation|Children|Comedy|Fantasy
5	3.0	Pretty Woman (1990)	Comedy|Romance
418	5.0	Lord of the Rings: The Fellowship of the Ring, The (2001)	Adventure|Fantasy
141	4.5	Incredibles, The (2004)	Action|Adventure|Animation|Children|Comedy
328	5.0	Pulp Fiction (1994)	Comedy|Crime|Drama|Thriller
393	5.0	Kill Bill: Vol. 1 (2003)	Action|Crime|Thriller
82	3.5	Léon: The Professional (a.k.a. The Professional) (Léon) (1994)	Action|Crime|Drama|Thriller
586	4.5	Groundhog Day (1993)	Comedy|Fantasy|Romance
597	5.0	Godfather, The (1972)	Crime|Drama
563	4.0	Pretty Woman (1990)	Comedy|Romance
282	5.0	Godfather: Part II, The (1974)	Crime|Drama
377	5.0	Alien (1979)	Horror|Sci-Fi
38	4.0	Beauty and the Beast (1991)	Animation|Children|Fantasy|Musical|Romance|IMAX
139	4.0	Star Wars: Episode IV - A New Hope (1977)	Action|Adventure|Sci-Fi
258	5.0	Matrix, The (1999)	Action|Sci-Fi|Thriller
217	4.0	Babe (1995)	Children|Drama
596	3.5	Kill Bill: Vol. 1 (2003)	Action|Crime|Thriller
295	5.0	American History X (1998)	Crime|Drama
332	3.5	E.T. the Extra-Terrestrial (1982)	Children|Drama|Sci-Fi
7	2.0	Ghost (1990)	Comedy|Drama|Fantasy|Romance|Thriller
596	3.0	Groundhog Day (1993)	Comedy|Fantasy|Romance
489	4.0	Pretty Woman (1990)	Comedy|Romance
18	4.5	Pirates of the Caribbean: The Curse of the Black Pearl (2003)	Action|Adventure|Comedy|Fantasy
115	5.0	Terminator, The (1984)	Action|Sci-Fi|Thriller
271	2.5	American Beauty (1999)	Drama|Romance
354	4.0	Batman (1989)	Action|Crime|Thriller
590	3.0	Pretty Woman (1990)	Comedy|Romance
62	5.0	Lord of the Rings: The Return of the King, The (2003)	Action|Adventure|Drama|Fantasy
367	5.0	Godfather, The (1972)	Crime|Drama
372	5.0	Seven (a.k.a. Se7en) (1995)	Mystery|Thriller
31	4.0	Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	Action|Adventure
610	4.5	Batman (1989)	Action|Crime|Thriller
1	4.0	Braveheart (1995)	Action|Drama|War
166	4.0	Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	Mystery|Sci-Fi|Thriller
428	3.0	Spider-Man (2002)	Action|Adventure|Sci-Fi|Thriller
480	3.5	Incredibles, The (2004)	Action|Adventure|Animation|Children|Comedy
249	4.5	Schindler's List (1993)	Drama|War
187	1.0	Fifth Element, The (1997)	Action|Adventure|Comedy|Sci-Fi
340	5.0	Batman (1989)	Action|Crime|Thriller
495	2.5	Pirates of the Caribbean: The Curse of the Black Pearl (2003)	Action|Adventure|Comedy|Fantasy
243	3.0	Schindler's List (1993)	Drama|War
385	4.0	Willy Wonka & the Chocolate Factory (1971)	Children|Comedy|Fantasy|Musical
419	4.0	Godfather: Part II, The (1974)	Crime|Drama
248	4.0	Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	Action|Adventure
15	5.0	Terminator 2: Judgment Day (1991)	Action|Sci-Fi
15	3.0	Léon: The Professional (a.k.a. The Professional) (Léon) (1994)	Action|Crime|Drama|Thriller
329	0.5	Clockwork Orange, A (1971)	Crime|Drama|Sci-Fi|Thriller
380	3.0	Ocean's Eleven (2001)	Crime|Thriller
409	2.0	Saving Private Ryan (1998)	Action|Drama|War
447	3.0	GoldenEye (1995)	Action|Adventure|Thriller
474	3.5	Good Will Hunting (1997)	Drama|Romance
593	3.5	Lion King, The (1994)	Adventure|Animation|Children|Drama|Musical|IMAX
313	3.0	Willy Wonka & the Chocolate Factory (1971)	Children|Comedy|Fantasy|Musical
